P1,ECU1
P2,ECU2
P22,Diagnostic Stub
HV1,ECU Junction
HV2,Rear of Head Junction
HV3,Engine Right Junction
HV4,Engine Left Junction
P4,Barometric Pressure Sensor
FB1,Switched Power Fuse Box
P23,Fuel Cut Relay Connector
P3,Customer Interface
PT1,Oil Pressure
HV5,Fuel System Junction
HV6,Alternator Junction
HV7,Relay Junction
P5,Mag Pickup
P6,Actuator Position 
P7,VR_Actuator
P9,Coolant Temperature
RT1,Alternator B+
P14,Alternator R
P24,Start Relay Connector
P25,Glow Relay Connector
HV8,Battery Fuse Junction
FB2,Battery Fuse
HV9,Battery Lead Junction
RT2,Battery +
RT3,Battery -
RT4,Glow Plug +
PT2,Starter Solenoid
SP1,Fused Power Alt
SP2,Fused Power Rear
SP3,Fused Power Relays
SP4,Ground Rear
SP5,Ground ECU

